Company_Name,HeadQuarter,Sector,Amount($),Stage,Year,Investor
ION Energy,"Mumbai, Maharashtra, India","Energy, Energy Storage, Infrastructure",1041000.0,,2018,
UnoTag,"Bangalore, Karnataka, India",Artificial Intelligence,100000.0,Seed,2018,
CivilCops,"Gurgaon, Haryana, India","Government, Information Technology, Software",100000.0,Seed,2018,
Classworks India,"Chennai, Tamil Nadu, India","Education, Information Technology, Internet, Mobile, Software",1400.0,,2018,
artbandhu,"Bangalore, Karnataka, India","Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",15000.0,Seed,2018,
Survaider,"Bengaluru, Karnataka, India","Business Intelligence, Customer Service, Market Research, SaaS",500000.0,Seed,2018,
Credy,"Bengaluru, Karnataka, India","Credit, Financial Services, FinTech, Lending",1400000.0,Seed,2018,
iChamp,"Gurgaon, Haryana, India",E-Learning,5000000.0,Seed,2018,
Qandle,"Gurgaon, Haryana, India",Software,1200000.0,Seed,2018,
Avishkaar Box,"Delhi, Delhi, India","Children, Education, Parenting",700000.0,Seed,2018,
HyperXchange,"Pune, Maharashtra, India","E-Commerce, Mobile, Sharing Economy",1000000.0,Series A,2018,
Doodhwala,"Bengaluru, Karnataka, India","Food Delivery, Organic, Organic Food",2200000.0,Seed,2018,
DronaHQ,"Mumbai, Maharashtra, India",Mobile,500000.0,Angel,2018,
FastFox,"Gurgaon, Haryana, India",Rental,1400000.0,Series A,2018,
BuyForexOnline,"Bangalore, Karnataka, India",Travel,2000000.0,,2018,
Colive.in,"Bangalore, Karnataka, India",Consumer,1800000.0,Seed,2018,
Agricxlab Private Limited,"Thane, Maharashtra, India","B2B, Farming, Marketplace",500000.0,Seed,2018,
Fincash.com,"Mumbai, Maharashtra, India",Wealth Management,150000.0,Seed,2018,
Pandorum Technologies,"Bengaluru, Karnataka, India",Biotechnology,3600000.0,Series A,2018,
Shirsa Labs,"Mumbai, Maharashtra, India","Education, Gaming, Training",500000.0,Seed,2018,
PetSutra,"Gurgaon, Haryana, India",Veterinary,133000.0,Seed,2018,
PinkBlue,"Bangalore, Karnataka, India","Health Care, Hospital, Supply Chain Management",300000.0,Seed,2018,
Eduvanz,"Mumbai, Maharashtra, India","Finance, Financial Services",500000.0,Angel,2018,
Rupeek,"Bangalore, Karnataka, India","Financial Services, Lending",6830000.0,Series A,2018,
Backpacker Panda Holidays Private Limited,"Pune, Maharashtra, India","Tourism, Travel",1400000.0,Series A,2018,
